AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
9,4065801,2078667,1987134,1460585,1390159,316410,308819,35109,34186,131444,124400,7231,7050,127888,122520,1577997,1502650,385294,375529,59899,57917,179715,169981,16421,15707,1548161,1476092,1019028,964997,281728,275406,16190,15630,124213,117512,4694,4592,102308,97955,1113432,1055389,337289,329332,32272,30976,164679,155625,11502,11019,530506,511042,441557,425162,34682,33413,18919,18556,7231,6888,2537,2458,25580,24565,464565,447261,48005,46197,27627,26941,15036,14356,4919,4688
10,4026673,2060452,1966221,1449180,1378399,315726,306904,35409,33878,127370,120141,6972,6678,125795,120221,1564620,1488671,383249,372356,59982,57382,174898,164829,16179,15284,1534511,1460870,1010911,957217,281544,274075,16499,15738,120468,113515,4583,4334,100506,95991,1103622,1045711,335967,326942,32463,30978,160216,150792,11335,10615,525941,505351,438269,421182,34182,32829,18910,18140,6902,6626,2389,2344,25289,24230,460998,442960,47282,45414,27519,26404,14682,14037,4844,4669
11,4048274,2069133,1979141,1456445,1389146,315825,307038,35289,34069,129829,122662,6992,6758,124753,119468,1570845,1498688,382487,371491,59841,57696,177138,167376,16157,15467,1540495,1468209,1014613,962142,282172,274458,16579,15947,123008,116025,4588,4381,99535,95256,1106337,1049922,335779,326363,32505,31261,162607,153342,11327,10767,528638,510932,441832,427004,33653,32580,18710,18122,6821,6637,2404,2377,25218,24212,464508,448766,46708,45128,27336,26435,14531,14034,4830,4700
12,4072670,2088101,1984569,1479368,1401695,318205,307781,35395,34036,123988,116764,6769,6547,124376,117746,1593486,1509653,384963,371196,60202,57672,170599,160677,15875,15155,1548555,1467228,1026100,967527,285047,275675,16814,15906,117262,110390,4369,4204,98963,93526,1117357,1053716,338679,326587,32895,31156,156106,146926,11032,10463,539546,517341,453268,434168,33158,32106,18581,18130,6726,6374,2400,2343,25413,24220,476129,455937,46284,44609,27307,26516,14493,13751,4843,4692
13,4153552,2129013,2024539,1517841,1438848,323220,311542,34098,32818,122212,116049,6605,6375,125037,118907,1632756,1548015,390178,375703,59383,57156,168655,159716,15703,14907,1571907,1490865,1043883,984991,291857,280868,16981,16522,115727,110063,4390,4249,99069,94172,1135361,1071832,345457,332201,33242,32227,154360,146429,11046,10489,557106,533674,473958,453857,31363,30674,17117,16296,6485,5986,2215,2126,25968,24735,497395,476183,44721,43502,26141,24929,14295,13287,4657,4418
14,4201284,2151504,2049780,1541356,1461463,326574,315994,34169,32806,120383,115224,6558,6437,122464,117856,1653962,1569684,392390,380103,58805,56520,165625,158105,15228,14870,1589138,1511655,1060827,1002083,295270,285606,17558,16914,114056,109235,4487,4342,96940,93475,1150406,1088306,348082,337094,33339,32216,151627,144972,10841,10502,562366,538125,480529,459380,31304,30388,16611,15892,6327,5989,2071,2095,25524,24381,503556,481378,44308,43009,25466,24304,13998,13133,4387,4368
15,4378651,2243610,2135041,1611473,1525850,342822,331694,35303,33605,124014,118654,6725,6607,123273,118631,1724632,1634797,409300,396470,60062,57406,168994,161363,15651,14985,1658868,1578651,1110103,1049177,310347,300737,18100,17457,117602,112606,4598,4478,98118,94196,1200482,1136098,364050,353105,34101,32635,155234,148209,11161,10581,584742,556390,501370,476673,32475,30957,17203,16148,6412,6048,2127,2129,25155,24435,524150,498699,45250,43365,25961,24771,13760,13154,4490,4404
16,4426474,2267999,2158475,1635437,1549440,343118,332406,36082,34760,125962,119627,6747,6646,120653,115596,1746109,1655369,407798,395189,60881,58453,170055,161295,15550,14973,1675807,1594555,1126465,1065251,311021,301492,18282,17966,119606,113739,4617,4471,95816,91636,1214754,1149526,363175,352102,34260,33131,156347,148448,11105,10567,592192,563920,508972,484189,32097,30914,17800,16794,6356,5888,2130,2175,24837,23960,531355,505843,44623,43087,26621,25322,13708,12847,4445,4406
17,4382509,2245505,2137004,1625751,1540470,336929,326200,35991,33972,124406,118920,6582,6459,115846,110983,1731941,1642152,398278,385740,60117,57078,167209,159107,15088,14488,1663668,1582972,1124612,1063602,306041,296187,18204,17534,118135,113145,4544,4362,92132,88142,1209408,1144655,355587,344463,33750,32378,153959,146683,10797,10249,581837,554032,501139,476868,30888,30013,17787,16438,6271,5775,2038,2097,23714,22841,522533,497497,42691,41277,26367,24700,13250,12424,4291,4239
18,4333706,2219773,2113933,1615936,1526529,325729,317889,35113,33757,126642,123665,6613,6561,109740,105532,1716404,1623006,383117,373592,58530,56154,167386,162598,14591,14210,1651692,1575060,1125249,1061173,295946,289360,17926,17537,120811,118208,4544,4563,87216,84219,1205409,1138412,342327,334574,33002,31975,155002,150955,10412,10241,568081,538873,490687,465356,29783,28529,17187,16220,5831,5457,2069,1998,22524,21313,510995,484594,40790,39018,25528,24179,12384,11643,4179,3969
